#separator:pipe
#html:false
#deck:JLPT N1 語彙
#notetype:Two Backs
〜宛[て]|〜あて|for, addresed to
〜合わせ|〜あわせ|to fit
〜位|〜い|nth place
〜以上|〜いじょう|since…,once…
〜一|〜いち|the top of ~
〜員|〜いん|a member of ~
〜上で|〜うえで|first doing something, then…, in the process of…
〜うちに|〜うちに|while…, in the course of…, within…
〜営|〜えい|operation, management
〜円|〜えん|Japanese Yen
〜園|〜えん|garden
〜おき|〜おき|intervals of ~, every ~
〜終わる|〜おわる|finished (something)
〜下|〜か|under
〜科|〜か|department, family subject
〜歌|〜か|song
〜化|〜か|~ise
〜家|〜か|a person that does ~ (occupation)
〜日|〜か|days
〜画|〜が|painting of ~
〜界|〜かい|world, society, circle
〜会|〜かい|meeting, gathering party, society
〜回|〜かい|times
〜海|〜かい|sea of
〜外|〜がい|out of ~
〜街|〜がい|street, district
〜階|〜かい／がい|~ storey
〜画|〜かく|stroke, plan
〜掛け|〜かけ|half~
〜ヶ月|〜かけつ|months
(お)金持ち|(お)かねもち|rich man
(お)酒|(お)さけ|liquor
(お)皿|(お)さら|plate
(お)釣[り]|(お)つり|change
～かねない|～かねない|Might happen
～がる|～がる|Feeling like
側|～がわ|Side
亜〜|あ〜|subtropical region
ああ|ああ|like that
ああ|ああ|ah
愛|あい|love, affection
相変わらず|あいかわらず|as before, as ever, as usual, as always, remain
挨拶（する）|あいさつ（する）|greet, salute
愛情|あいじょう|love, affection
合図|あいず|a signal, a sign, a cue
アイスクリーム|アイスクリーム|ice-cream
愛する|あいする|love, have an affection to, be attached to
愛想|あいそう|amiable, affable, sociable
間|あいだ|between (A and B)
間柄|あいだがら|relationship
相次ぐ|あいつぐ|successive
相手|あいて|a companion, one's partner, an opponent, an adversary, a rival, the other party
アイデア／アイディア|アイデア／アイディア|idea
あいにく|あいにく|unfortunately, unluckily
合い間|あいま|in the intervals, in one's spare time
曖昧|あいまい|unclear, vague, noncommital, ambiguous, equivocal
アイロン|アイロン|an iron
会う|あう|see, meet
合う|あう|fit, match
遭う|あう|meet, encounter, encounter difficulties
アウト|アウト|out
敢えて|あえて|dare
青|あお|blue
青い|あおい|blue
仰ぐ|あおぐ|look up
扇ぐ|あおぐ|fan
青白い|あおじろい|pale, pallid
垢|あか|dirt, grime
赤|あか|red
赤い|あかい|red
証|あかし|proof, evidence
赤字|あかじ|a deficit, the red
明かす|あかす|disclose, confide
あかちゃん|あかちゃん|baby
明らむ|あからむ|brighten, light
明かり|あかり|a light, an electric lamp, a lamp
上がり|あがり|rise, finish, profit
上がる|あがる|climb, rise
上がる|あがる|rise, go/climb up, make progress, improve, finish, get nervous
明るい|あかるい|bright
赤ん坊|あかんぼう|baby
秋|あき|autumn, fall
空き|あき|open, room, space
明らか|あきらか|clear, obvious, evident, plain
諦め|あきらめ|resignation, philosophy
諦める|あきらめる|resign, abandon, give up
飽きる|あきる|become tired of, lose interest in
呆れる|あきれる|be amazed/dumbfounded/flabbergasted, be shocked/astounded, be disgusted
悪|あく|evil, wickedness, vice
開く|あく|open
空く|あく|empty, vacant
握手|あくしゅ|a handshake, handshaking
アクセサリー|アクセサリー|accessories
アクセル|アクセル|accelerator
アクセント|アクセント|accent
あくどい|あくどい|vicious, wicked
あくび|あくび|a yawn
悪魔|あくま|the Devil, Satan, a fiend, an evil spirit
飽くまでも（も）|あくまで（も）|to the end/last, persistently
明くる〜|あくる〜|the next/following (day, year)
明け方|あけがた|dawn, daybreak
明ける|あける|dawn, rise, end, come to an end, be over
開ける|あける|open
あげる|あげる|give
揚げる|あげる|hoist, fly
上げる|あげる|raise, lift (up)
顎|あご|jaw, chin
憧れ|あこがれ|admiration, adoration
憧れる|あこがれる|long for, have a crush on, be attracted by
朝|あさ|morning
麻|あさ|hemp
あざ|あざ|birthmark, bruise
浅い|あさい|shallow
朝ご飯|あさごはん|breakfast
あさって|あさって|the day after tomorrow
浅ましい|あさましい|mean, ignobile, shameless
欺く|あざむく|deceive, cheat, trick
鮮やか|あざやか|vivid, bright, fine, skillful
あざわらう|あざわらう|laugh, sneer, ridicule, make fun of
足|あし|legs, foot, feet
味|あじ|taste
アジア|アジア|Asia
足跡|あしあと|a footprint, a footmark, tracks, achievement
あしからず|あしからず|I'm sorry, but…
明日|あした|tomorrow
足元|あしもと|underfoot, foothold, gait, close to
味わい|あじわい|flavour, relish
味わう|あじわう|taste, enjoy, appreciate
明日|あす|tomorrow
預かる|あずかる|keep, look after, take care of, manage, withhold
預ける|あずける|put/place/leave a thing in a person's keeping/care, enthrust, deposit
汗|あせ|sweat, perspiration
焦る|あせる|be in  a hurry, be hasty, be impatient, be anxious
褪せる|あせる|fade, discolour, fade away
あそこ|あそこ|there, that place
遊び|あそび|play (N)
遊ぶ|あそぶ|play(V)
値|あたい|value, reading
値する|あたいする|be worth, deserve
与える|あたえる|give, cause
暖かい|あたたかい|warm
暖／温かい／な|あたたかい／な|warm/hot
暖／温まる|あたたまる|become/get/grow warmer, warm up, be warmed/touched
暖／温める|あたためる|warm up, heat up
頭|あたま|head
新しい|あたらしい|new
当たり|あたり|hit (guessed right)
辺り|あたり|around, in the neighbourhood, vicinity
当たり前|あたりまえ|natural, proper, ordinary, usual, normal
当たる|あたる|hit, strike, touch, bask (in the sun), win, be in charge, be called on, be poisoned
あちこち|あちこち|here and there, all over, in many/various places, from one thing to another
あちら／あっち|あちら／あっち|this direction (polite form of あそこ)
あちらこちら|あちらこちら|here and there
あっ|あっ|oh
厚い|あつい|thick
暑い|あつい|hot
熱い|あつい|hot
悪化|あっか|change for the worse
扱い|あつかい|handle, treat, handling, managing
扱う|あつかう|treat, handle
厚かましい|あつかましい|brazen-faced, impundent, cheeky
あっけない|あっけない|disappointing, disappointingly (short)
あっさり|あっさり|simple, light, readily
圧縮|あっしゅく|compression
斡旋|あっせん|mediation
圧倒|あっとう|overwhelm, overpower
圧迫|あっぱく|pressure
アップ|アップ|close-up, improved
集まり|あつまり|meeting, group, set
集まる|あつまる|come together, gather
集める|あつめる|collect, gather
誂える|あつらえる|to order
圧力|あつりょく|pressure
当て|あて|aim, expectations
当て字|あてじ|phonetic equivalent, substitute character (kanji)
宛名|あてな|an addressee, an address
あてはまる|あてはまる|apply to, come/fall under, fit, meet, fulfill
あてはめる|あてはめる|apply, adapt to
宛てる|あてる|address (a letter to)
当てる|あてる|hit, get, apply
後|あと|after, later
後|あと|more (later)
跡|あと|trace, track, trail
跡継ぎ|あとつぎ|interior, heir
後回し|あとまわし|postponement, put off
穴|あな|a hole, a pit, a deficit, a flaw
アナウンサー|アナウンサー|announcer
あなた|あなた|you
兄|あに|(my) elder brother
姉|あね|(my) elder sister
あの|あの|used when calling out another person
あの|あの|that~
アパート|アパート|apartment
暴れる|あばれる|act violently, rage, run amok, riot, become unruly, struggle
浴びる|あびる|take a shower
危ない|あぶない|dangerous, risky, hazardous
油／脂|あぶら|oil, fat, lard, suet, tallow, grease
油絵|あぶらえ|oil painting
アフリカ|アフリカ|Africa
あぶる|あぶる|broil, roast
溢れる|あふれる|overflow, flood, be inundated, be crowded, be full of
アプローチ|アプローチ|approach
あべこべ|あべこべ|reverse, opposite
甘い|あまい|sweet
甘える|あまえる|behave like a baby, demand attention, depend on
雨具|あまぐ|rain outfit, rainwear
甘口|あまくち|sweet, mild
アマチュア|アマチュア|amateur
雨戸|あまど|a storm door, (sliding) storm shutters
甘やかす|あまやかす|indulge, be indulgent, spoil
あまり|あまり|not so
余り|あまり|the rest, the remainder, more than, over
余る|あまる|be left (over), surpass, be beyond one's power
網|あみ|net
編み物|あみもの|knitting, crochet, knitted items/goods
編む|あむ|to knit, crochet, braid, weave, compile, edit, plan, arrange
雨|あめ|rain
飴|あめ|candy
アメリカ|アメリカ|America
危うい|あやうい|dangerous, unsteady, uncertain, doubtful
怪しい|あやしい|strange, mysterious, suspicious
操る|あやつる|manage, handle, manipulate
危ぶむ|あやぶむ|fear, doubt
あやふや|あやふや|uncertain, indefinite
過ち|あやまち|mistake, error
誤[ま]り|あやまり|error, mistake
謝る|あやまる|apologise
誤[ま]る|あやまる|make a mistake, blunder
歩み|あゆみ|walking, a pace
歩む|あゆむ|walk, move through
あら|あら|aw, oh, wow, why
荒い／粗い|あらい|rough
洗う|あらう|wash
予め|あらかじめ|previously, beforehand, in advance
嵐|あらし|a storm, a difficulty, a trouble
荒らす|あらす|devastate, encroach
あらすじ|あらすじ|an outline, a brief/rough outline, a summary, a synposis
争い|あらそい|competition, struggle, quarrel
争う|あらそう|compete, contend, struggled, race, fight, dispute
新た|あらた|new, newly, renew, fresh
改まる|あらたまる|be improved, be formal, be ceremonious, be stiff, change, move
改めて|あらためて|once more, some other time, later
改める|あらためる|renew, change, reform, correct, examine, count
荒っぽい|あらっぽい|rough, violent, coarse
アラブ|アラブ|an Arab
あらゆる|あらゆる|all, every
霰|あられ|hail, a hailstone
表す|あらわす|show, express, signify, represent, symbolize, stand for
現れ|あらわれ|an expression, a manifestation, an outcome, a sign
現れる|あらわれる|appear, come out, show up
有り難い|ありがたい|appreciate, thankful, fortunate, welcome, edifying, merciful, gracious, bountiful
有り様|ありさま|a state, a condition
ありのまま|ありのまま|plain, unvarnished, frank
ありふれる|ありふれる|commonplace, ordinary
或る|ある|a certain, one, some
有る／在る|ある|have, hold
あるいは|あるいは|or, either…or, perhaps
アルカリ|アルカリ|alkali
歩く|あるく|walk
アルコール|アルコール|alcohol
アルバイト|アルバイト|part-time job
アルバム|アルバム|an album
アルミ|アルミ|aluminium
あれ|あれ|that (far listener)
あれ|あれ|that, those, ah
あれこれ|あれこれ|this and that
荒れる|あれる|be rough, be stormy
泡|あわ|bubble, foam
合わす|あわす|to adjust
合わせる|あわせる|put together, add, adjust, set, tune, adapt oneself, fit
慌ただしい|あわただしい|busy, hurried, rushed
慌てる|あわてる|be flurried
哀れ|あわれ|pity
案|あん|a plan, a proposal, an idea, expectation
安易|あんい|easy, easygoing
案外|あんがい|unexpectedly, surprisingly
暗記|あんき|memorise
アンケート|アンケート|questionnaire
アンコール|アンコール|encore
暗殺|あんさつ|assassination
暗算|あんざん|mental aritmetic
暗示|あんじ|suggestion, hint
案じる|あんじる|worry, be anxious, be concerned
安心(する)|あんしん(する)|feel relieved
安静|あんせい|rest, quiet
安全|あんぜん|safety, safe
安定|あんてい|stability, steadiness
アンテナ|アンテナ|an antenna, an aerial
あんな|あんな|like that
案内|あんない|guidance, invitation, guide, notice
案内(する)|あんない(する)|guide, show
あんなに|あんなに|such…as, so, like that
案の定|あんのじょう|just as expected, as anticipated
あんまり|あんまり|too~, so~, terrible, awful, merciless
異|い|odd
胃|い|the stomach
意|い|feelings, thinking, will, voiltion, meaning, a sense
いい|いい|good
いいえ／いえ|いいえ／いえ|no
いい加減|いいかげん|just right, inaccurate, irresponsible
言い出す|いいだす|bring up, speak out, propose, suggest
言い付ける|いいつける|order, tell, instruct, tell on
言い訳|いいわけ|explanation, excuse, justification, defense
委員|いいん|a committee, commission, committee member, commission member
医院|いいん|doctor's office, clinic
言う|いう|say, tell
家|いえ|house
家出|いえで|run away from home
以下|いか|less than
以外|いがい|except, besides
意外|いがい|unexpected, surprising
いがが|いがが|what, how about
医学|いがく|medical science
生かす|いかす|spare a person's life, revive, make use of, utilise
いかに|いかに|how, in what way, however, no matter how
いかにも|いかにも|just, as if
怒り|いかり|anger, rage, fury, wrath
粋|いき|smart, chic
行き|いき|way to
息|いき|breath, breathing
意義|いぎ|meaning, importance, significance
異議|いぎ|objection
生き生き|いきいき|fresh, lively, vivid, bright, alive
勢い|いきおい|force, energy, vigor
生き甲斐|いきがい|motivation in life, salt of life
意気込み|いきごみ|enthusiasm, determination
行き違い|いきちがい|miss each other
いきなり|いきなり|suddenly, all of a sudden, abruptly, without (any) warning
生き物|いきもの|a living thing/being, life
イギリス|イギリス|UK, England
生きる|いきる|live
行く|いく|go
幾〜|いく〜|some, many, how much
育児|いくじ|childcare, nursing
育成|いくせい|rearing, upringing, raising
幾多|いくた|numerous
幾つ|いくつ|how many
幾分|いくぶん|somewhat, a little, a part, a portion
幾ら|いくら|how much
いくら〜でも|いくら〜でも|even though ~
池|いけ|pond
生け花|いけばな|flower arrangement
いける|いける|well, not bad
意見|いけん|opinion
以後|いご|after, since, from, after this, from now on, hereafter, in (the) future
異見|いけん|different view, objection
以降|いこう|after, since, from
意向|いこう|intention
移行|いこう|a switchover, a shift
イコール|イコール|an equal sign
いざ|いざ|〜さらば goodbye, 〜という時に in a pinch, となれば私も働きます When the time comes, I will work, too
勇ましい|いざましい|brave, courageous, gallant, valiant, daring, bold, stirring
医師|いし|doctor
意思／意志|いし|a mind (to do), intention, wish, will to do, volition
石|いし|stone
維持|いじ|maintenance
意地|いじ|one's nature, wilpower, pride
意識|いしき|consciousness
虐める|いじめる|torment, bully
医者|いしゃ|doctor
移住|いじゅう|move, emigration, immigration
衣装|いしょう|clothes, clothing, costumes
以上|いじょう|more than
異常|いじょう|unusual, extraordinary, abnormal, peculiar, singular, uncommon, remarkable
衣食住|いしょくじゅう|food, clothing and shelter, creature comforts
弄る|いじる|play with, tamper
意地悪|いじわる|ill-natured, spiteful, mean
椅子|いす|chair(s)
泉|いずみ|a spring, a fountain
いずれ|いずれ|anyway, in any case, at any rate
異性|いせい|the opposite sex
遺跡|いせき|remains, ruins
以前|いぜん|before
依然|いぜん|as before, as~as ever
忙しい|いそがしい|busy
急ぐ|いそぐ|hurry, make haste
依存|いぞん|dependence (on)
板|いた|a board, a plank
痛い|いたい|painful
偉大|いだい|great, grand
委託|いたく|charge, consignment, trust
抱く|いだく|hold, embrace, hug, have, bear, entertain, harbour
致す|いたす|do (humble)
いたずら|いたずら|mischief, practical joke, prank
いただき|いただき|the top, the summit
いただきます|いただきます|Let's eat, shall we begin?
頂く|いただく|receive (humble)
いたって|いたって|extremely, very
痛み|いたみ|pain, ache, sorrow, distress
痛む|いたむ|hurt, prickle, feel prickly, sting, smart, painful
傷める|いためる|damage, spoil
炒める|いためる|fry
至る|いたる|lead to, come, extend
いたわる|いたわる|be considerate, care for
位置|いち|place, position, location
一|いち|one
市|いち|a market, a fair
いちいち|いちいち|one by one, everything, in detail
一応|いちおう|just in case, for the present time being
一概に|いちがいに|generalise
一時|いちじ|at one time, in a moment, instantly, once, for a time, for the time being
著しい|いちじるしい|remarkable
一段と|いちだんと|further, much
一度|いちど|once
一同|いちどう|all (of us)
一度に|いちどに|at once, at a time, at the same time, simultaneously, at a stretch/sitting, all together
市場|いちば|a market (place)
一番|いちばん|number one, the first, the most
一部|いちぶ|a part, a portion, partly, some
一部分|いちぶぶん|part, fraction
一面|いちめん|one side, one aspect
一目|いちもく|〜瞭然(りょうぜん) it's quite obvious, 〜置く admit one's inferiority (to a person)
一様|いちよう|uniformity
一律|いちりつ|uniformity, even
一流|いちりゅう|first-class, first-rate, the first rank
一連|いちれん|a series of, a chain of
いつ|いつ|when
一家|いっか|a home, a household, one's family
五日|いつか|the 5th day, 5 days
何時か|いつか|sometime, someday
一括|いっかつ|bulk bloc, bundle, lump
一気|いっき|burst, at a breath
一挙に|いっきょに|at a blow, at a sweep
一見|いっけん|a look, a glance, seemingly
一切|いっさい|all, everything
一昨日|いっさくじつ|the day before yesterday
一昨年|いっさくねん|the year before last, two years ago
一種|いっしゅ|a kind, a sort, a variety
一瞬|いっしゅん|an instant, a moment
一緒(に)|いっしょ(に)|together
一生|いっしょう|a lifetime, one's whole life
一生懸命|いっしょうけんめい|very hard, with all of one's might
一心|いっしん|with one's whole heart
一斉に|いっせいに|all together, all in one body, all at once, simultaneously, in unison, unanimously
